concludes
said
sources close to
said in a
the source said
as mentioned by
told
the report
cites
aforementioned
have concluded
as discussed by
has claimed
crediting
issued a statement
aforesaid
according to
prepared by
the article
in a statement
per
that report
said in an
has said
reported
is reporting that
voiced by
citing
in an interview
same
