according to
as discussed by
as mentioned by
cites
citing
concludes
crediting
has claimed
has said
have concluded
in a statement
in an interview
is reporting that
issued a statement
per
prepared by
reported
said
said in a
said in an
sources close to
that report
the article
the report
the source said
told
voiced by
